"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"XPLUSDT","Cross","Short","0.56020000","0.55043900","178.00000000","178.00000000","1.73750000","2025-08-24 18:13:04.991","2025-08-24 20:21:02.190","Closed"
"PROMPTUSDT","Cross","Long","0.36466300","0.34860000","274.00000000","274.00000000","-4.40119999","2025-08-24 17:58:18.486","2025-08-24 18:06:25.066","Closed"
"BANUSDT","Cross","Long","0.09055700","0.08610200","1107.00000000","1107.00000000","-4.93174999","2025-08-24 17:52:40.626","2025-08-24 19:36:18.679","Closed"
"FHEUSDT","Cross","Long","0.06604000","0.06603000","1517.00000000","1517.00000000","-0.01517000","2025-08-24 17:46:03.545","2025-08-24 18:14:50.490","Closed"
"SAPIENUSDT","Cross","Long","0.25369400","0.25360800","395.00000000","395.00000000","-0.03396997","2025-08-24 17:42:54.321","2025-08-24 18:32:08.033","Closed"
"BIOUSDT","Cross","Short","0.24116000","0.25084000","417.00000000","417.00000000","-4.03657999","2025-08-24 17:41:33.619","2025-08-24 17:44:26.854","Closed"
"BIOUSDT","Cross","Long","0.24842000","0.23845400","396.00000000","396.00000000","-3.94658000","2025-08-24 17:40:38.043","2025-08-24 17:41:20.691","Closed"
"PROMPTUSDT","Cross","Long","0.34050000","0.36190000","295.00000000","295.00000000","6.31300000","2025-08-24 17:30:02.209","2025-08-24 17:57:51.014","Closed"
"XPLUSDT","Cross","Long","0.58510000","0.56140000","171.00000000","171.00000000","-4.05270000","2025-08-24 17:28:28.750","2025-08-24 18:12:53.267","Closed"
"SKYAIUSDT","Cross","Short","0.04300800","0.04301300","2327.00000000","2327.00000000","-0.01272999","2025-08-24 17:27:55.898","2025-08-24 20:24:46.782","Closed"
"SKYAIUSDT","Cross","Long","0.04391000","0.04209000","2279.00000000","2279.00000000","-4.14778000","2025-08-24 17:21:43.926","2025-08-24 17:25:49.616","Closed"
"FHEUSDT","Cross","Short","0.06546600","0.06498800","1604.00000000","6983.00000000","3.33599992","2025-08-24 17:19:23.660","2025-08-24 23:15:50.877","Closed"
"FHEUSDT","Cross","Long","0.06200000","0.06250000","144.00000000","144.00000000","0.07200000","2025-08-24 17:17:06.165","2025-08-24 17:19:23.660","Closed"
"PROMPTUSDT","Cross","Short","0.33040000","0.34360000","302.00000000","302.00000000","-3.98640000","2025-08-24 17:10:00.404","2025-08-24 17:29:32.051","Closed"
"MEMEUSDT","Cross","Short","0.00386800","0.00386400","25846.00000000","25846.00000000","0.10338400","2025-08-24 17:03:22.391","2025-08-24 18:23:00.378","Closed"
"BIOUSDT","Cross","Long","0.23103000","0.25175000","432.00000000","432.00000000","8.95104000","2025-08-24 17:02:25.848","2025-08-24 17:40:22.541","Closed"
"FHEUSDT","Cross","Short","0.06319400","0.06270000","353.00000000","353.00000000","0.17449999","2025-08-24 17:01:43.443","2025-08-24 17:17:06.165","Closed"
